"category","title","resource_url","img"
"Settlement","Settlement.Org: Sexual Orientation and Gender Identity","https://settlement.org/ontario/health/sexual-and-reproductive-health/sexual-orientation-and-gender-identity/","#imageLiteral(resourceName: 'settlement')"
"faith","transACTION: A Transgender Curriculum and Learner's Guide For Churches and Religious Institutions","https://www.youthline.ca/get-support/links-resources/","http://www.transfaithonline.org/fileadmin/GObrand/transfaithO.PNG"
"forms","How Do I Change the Sex Designation on my Identity Documents?","https://jfcy.org/en/rights/government-issued-identification/","http://jfcy.org/wp-content/uploads/2016/08/MokshaJFCY.jpg"
"service","Trans Primary Care: My Guide to Caring for Trans and Gender-Diverse Clients","https://www.rainbowhealthontario.ca/TransHealthGuide/","http://www.gilbertcentre.ca/wp-content/uploads/2017/01/TransCareGuide_promo_150dpi-1024x572.png"
"education","The Body is Not An Apology","https://thebodyisnotanapology.com/","http://static.tumblr.com/20c73379933cb2aae49fb4f349d67633/v9siz0v/G7emhm3n5/tumblr_static_bodylogo_small.jpg"
"type","Briarpatch Magazine: Hearing Two Spirits","https://briarpatchmagazine.com/articles/view/hearing-two-spirits","https://briarpatchmagazine.com/images/sda/web-house-ad-2017.jpg"
"sex","Yes No Maybe: sex, kink, and language spreadsheets","www.bextalkssex.com/yes-no-maybe/","https://i2.wp.com/www.bextalkssex.com/wp-content/uploads/2016/10/YesNoMaybe.jpg"
"health","Mind Your Mind: Reach Out, Get Help, Give Help","https://mindyourmind.ca/","https://mindyourmind.ca/images/logo.png"
"parents","Supporting Your Gender Diverse Child","https://egale.ca/supporting-gender-diverse-child/","https://egale.ca/wp-content/uploads/2015/01/Egale-Logo-for-web.png"
"gender","For Families & Friends of Trans/GenderQueer/GenderNon-Conforming Folks","http://transwhat.org/","http://transwhat.org/images/transwhat_header.png"
"selfcare","SuperBetter","https://www.superbetter.com/","https://www.superbetter.com/img/superbetter-logo@2x.png"
"homelessness","LGBTQ2S Youth Homelessness in Canada","http://www.the519.org/education-training/lgbtq2s-youth-homelessness-in-canada","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/HomelessParis_7032101.jpg/600px-HomelessParis_7032101.jpg"
"trans","Transition-Related Surgery (TRS)* Frequently Asked Questions","https://www.rainbowhealthontario.ca/resources/transition-related-surgery-trs-frequently-asked-questions/","https://www.rainbowhealthontario.ca/wp-content/uploads//2018/11/RHOlogo_EF_RGB.jpg"
"school","Education and the LGBT community","https://en.wikipedia.org/wiki/Education_and_the_LGBT_community","https://upload.wikimedia.org/wikipedia/commons/0/0b/Students_fighting_homophobia_%28323289114%29.jpg"
"comingout","SexAndU: Coming Out","https://www.sexandu.ca/lgbttq/coming-out/","https://d2pdrg0zq56pru.cloudfront.net/wp-content/uploads/2016/09/sogc_sex_u_image_380px_coming_out.jpg"
"emergency","Sexual Assault 24-hr Crisis Lines accross Ontario, Counselling, Referrals etc.","http://www.sexualassaultsupport.ca/","https://sexualassaultsupport.ca/wp-content/uploads/2018/04/ontario-coalition-of-rape-crisis-centres_medium-e1523927278876.jpg"
"community","Accomplices Not Allies: Abolishing The Ally Industrial Complex","http://www.indigenousaction.org/accomplices-not-allies-abolishing-the-ally-industrial-complex/","http://www.indigenousaction.org/wp-content/uploads/abolish-ally-industrial-complex-cover.jpg"
"selfharm","The Trevor Project: Suicide Prevention Resources","http://www.thetrevorproject.org/pages/suicide-prevention-resources","https://www.thetrevorproject.org/wp-content/uploads/2019/01/Marlon-Bundo-Karen-Pence.jpg"
"bullying","The Courage To Be Me: a story of courage, self-compassion, and hope after sexual abuse","https://ninaburrowes.com/books/the-courage-to-be-me/preface/","https://www.loveisrespect.org/wp-content/uploads/2014/12/lir20-logo-1.png"
